IND2018,Darren Collison,2018,IND,76,Active,PG,31,11.2
MEM2018,Mike Conley,2018,MEM,70,Active,PG,31,21.1
MIL2018,Pat Connaughton,2018,MIL,61,Active,SG,26,6.9
GSW2018,Quinn Cook,2018,GSW,74,Active,PG,25,6.9
GSW2018,DeMarcus Cousins,2018,GSW,30,Active,C,28,16.3
PHI2018,Robert Covington,2018,PHI,13,Active,SF,28,11.3
MIN2018,Robert Covington,2018,MIN,22,Active,SF,28,14.5
BRK2018,Allen Crabbe,2018,BRK,43,Active,SG,26,9.6
DEN2018,Torrey Craig,2018,DEN,75,Active,SF,28,5.7
PHO2018,Jamal Crawford,2018,PHO,64,Active,SG,38,7.9
UTA2018,Jae Crowder,2018,UTA,80,Active,SF,28,11.9
SAS2018,Dante Cunningham,2018,SAS,64,Active,PF,31,3
POR2018,Seth Curry,2018,POR,74,Active,SG,28,7.9
GSW2018,Stephen Curry,2018,GSW,69,Active,PG,30,27.3
PHO2018,Troy Daniels,2018,PHO,51,Active,SG,27,6.2
NOP2018,Anthony Davis,2018,NOP,56,Active,C,25,25.9
BRK2018,Ed Davis,2018,BRK,81,Active,C,29,5.8
ATL2018,Dewayne Dedmon,2018,ATL,64,Active,C,29,10.8
WAS2018,Sam Dekker,2018,WAS,38,Active,PF,24,6.1
MIL2018,Matthew Dellavedova,2018,MIL,12,Active,PG,28,1.7
CLE2018,Matthew Dellavedova,2018,CLE,36,Active,PG,28,7.3
MIN2018,Luol Deng,2018,MIN,22,Active,SF,33,7.1
SAS2018,DeMar DeRozan,2018,SAS,77,Active,SG,29,21.2
GSW2018,Marcus Derrickson,2018,GSW,11,Active,PF,22,4.2
NOP2018,Cheick Diallo,2018,NOP,64,Active,PF,22,6
OKC2018,Hamidou Diallo,2018,OKC,51,Active,SG,20,3.7
MIN2018,Gorgui Dieng,2018,MIN,76,Active,C,29,6.4
BRK2018,Spencer Dinwiddie,2018,BRK,68,Active,PG,25,16.8
MIL2018,Donte DiVincenzo,2018,MIL,27,Active,SG,22,4.9
DAL2018,Luka Don?i?,2018,DAL,72,Active,SG,19,21.2
ATL2018,Tyler Dorsey,2018,ATL,27,Active,SG,22,3.3
MEM2018,Tyler Dorsey,2018,MEM,21,Active,SG,22,9.8
NYK2018,Damyean Dotson,2018,NYK,73,Active,SG,24,10.7
MIA2018,Goran Dragi?,2018,MIA,36,Active,PG,32,13.7
DET2018,Andre Drummond,2018,DET,79,Active,C,25,17.3
BRK2018,Jared Dudley,2018,BRK,59,Active,PF,33,4.9
CHI2018,Kris Dunn,2018,CHI,46,Active,PG,24,11.3
GSW2018,Kevin Durant,2018,GSW,78,Active,SF,30,26
NYK2018,Henry Ellenson,2018,NYK,17,Active,PF,22,6
MIA2018,Wayne Ellington,2018,MIA,25,Active,SG,31,8.4
DET2018,Wayne Ellington,2018,DET,28,Active,SG,31,12
PHI2018,Joel Embiid,2018,PHI,64,Active,C,24,27.5
HOU2018,James Ennis,2018,HOU,40,Active,SF,28,7.4
PHI2018,James Ennis,2018,PHI,18,Active,SF,28,5.3
SAS2018,Drew Eubanks,2018,SAS,23,Active,PF,21,1.8
GSW2018,Jacob Evans,2018,GSW,30,Active,SG,21,1.3
IND2018,Tyreke Evans,2018,IND,69,Active,SG,29,10.2
UTA2018,Dante Exum,2018,UTA,42,Active,PG,23,6.9
BRK2018,Kenneth Faried,2018,BRK,12,Active,C,29,5.1
HOU2018,Kenneth Faried,2018,HOU,25,Active,C,29,12.9
UTA2018,Derrick Favors,2018,UTA,76,Active,C,27,11.8
CHI2018,Cristiano Felício,2018,CHI,60,Active,C,26,4
OKC2018,Raymond Felton,2018,OKC,33,Active,PG,34,4.3
OKC2018,Terrance Ferguson,2018,OKC,74,Active,SG,20,6.9
SAC2018,Yogi Ferrell,2018,SAC,71,Active,PG,25,5.9
DAL2018,Dorian Finney-Smith,2018,DAL,81,Active,SF,25,7.5
SAS2018,Bryn Forbes,2018,SAS,82,Active,SG,25,11.8
ORL2018,Evan Fournier,2018,ORL,81,Active,SG,26,15.1
